id,log_recommends
8,9.01201
14,3.49651
19,0.69315
22,1.38629
29,1.94591
47,2.07944
52,1.79176
90,7.00397
91,7.17089
98,8.6484
125,1.09861
133,2.83321
143,2.63906
145,1.09861
148,3.78419
158,8.90937
161,4.23411
178,5.51343
182,10.20363
188,6.59304
191,3.04452
195,4.31749
203,1.60944
213,1.09861
219,0.69315
222,1.94591
236,1.60944
243,1.09861
249,4.58497
257,1.09861
258,5.01728
264,1.38629
265,8.53719
267,0.69315
283,1.09861
284,4.64439
290,5.78383
292,6.45362
293,1.09861
307,1.09861
311,6.90875
316,4.86753
322,0.69315
323,6.13773
332,0.69315
334,1.38629
341,9.38438
356,3.7612
358,3.49651
360,1.38629
365,1.60944
369,4.61512
370,2.48491
378,5.0689
385,0.69315
394,1.60944
399,7.09091
415,1.09861
428,9.71118
430,4.31749
439,1.38629
451,5.77144
452,3.82864
462,1.09861
465,7.37838
468,3.13549
482,3.73767
486,2.99573
498,0.69315
504,5.62762
521,0.69315
536,0.69315
560,1.60944
569,5.86647
574,1.38629
594,2.89037
611,1.09861
620,3.3673
630,2.56495
635,1.38629
638,8.59434
657,6.60665
667,3.29584
669,1.60944
671,5.3799
672,1.38629
677,1.38629
678,5.68017
711,1.38629
713,1.60944
721,6.53088
726,1.09861
735,1.38629
736,7.4961
743,6.80017
744,2.30259
747,6.608
753,1.60944
767,3.04452
783,6.11147
797,0.69315
798,0.69315
801,1.09861
808,1.38629
822,1.09861
834,0.69315
839,1.09861
844,1.38629
868,0.69315
891,7.17089
918,6.64769
929,1.94591
941,1.09861
946,0.69315
951,3.3673
954,3.46574
957,1.09861
959,0.69315
963,3.13549
965,1.09861
975,5.10595
980,5.32301
987,4.39445
991,3.63759
993,5.8999
997,4.40672
1000,2.77259
1003,7.00397
1017,1.38629
1020,6.14633
1030,3.71357
1034,8.85381
1035,1.38629
1045,1.38629
1053,6.34388
1056,7.78364
1059,7.56579
1060,3.55535
1062,1.60944
1065,4.69135
1067,3.13549
1073,6.49828
1079,7.00397
1089,2.70805
1097,3.13549
1107,4.52179
1112,3.63759
1115,2.94444
1116,3.21888
1123,2.19722
1125,2.3979
1140,3.49651
1145,2.63906
1154,6.00141
1157,3.61092
1160,2.83321
1161,2.07944
1163,2.07944
1169,1.09861
1182,5.99146
1193,1.09861
1206,2.99573
1211,4.47734
1223,8.1608
1236,0.69315
1238,5.03044
1243,2.07944
1245,1.79176
1250,9.84697
1258,5.11199
1261,6.27288
1263,3.49651
1265,1.09861
1266,1.60944
1267,3.71357
1269,1.38629
1273,2.48491
1274,6.90875
1279,5.37064
